Test Number	Result Number	CAS Number 	 Chemical Name	Chemical Grade	Chemical Analysis	Test Method	 Chemical Purity Mean Op 	 Chemical Purity Mean(%) 	 Chemical Purity Min Op 	 Chemical Purity Min(%) 	 Chemical Purity Max Op 	 Chemical Purity Max(%)	Species Scientific Name 	 Species Common Name	Species Kingdom 	 Species Phylum 	 Species Sub Phylum 	 Species Superclass 	 Species Class 	 Species Order 	 Species Family 	 Species Genus 	 Species 	 Variety	Species Group	Organism Lifestage	 Organism Age Mean Op 	 Organism Age Mean 	 Organism Age Min Op 	 Organism Age Min 	 Organism Age Max Op 	 Organism Age Max 	 Age Units	Organism Source	 Organism Initial Weight Mean Op 	 Organism Initial Weight Mean 	 Organism Initial Weight Min Op 	 Organism Initial Weight Min 	 Organism Initial Weight Max Op 	 Organism Initial Weight Max 	 Organism Initial Weight Units	Gender	Organism Comment	Exposure Type	Media Type 	 Test Location	Number of Doses	Conc 1 Type (Author) 	 Conc 1 Mean Op (Author) 	 Conc 1 Mean (Author) 	 Conc 1 Min Op (Author) 	 Conc Min 1 (Author) 	 Conc 1 Max Op (Author) 	 Conc 1 Max (Author) 	 Conc 1 Units (Author) 	 Conc 2 Type (Author) 	 Conc 2 Mean Op (Author) 	 Conc 2 Mean (Author) 	 Conc 2 Min Op (Author) 	 Conc Min 2 (Author) 	 Conc 2 Max Op (Author) 	 Conc 2 Max (Author) 	 Conc 2 Units (Author) 	 Conc 3 Type (Author) 	 Conc 3 Mean Op (Author) 	 Conc 3 Mean (Author) 	 Conc 3 Min Op (Author) 	 Conc Min 3 (Author) 	 Conc 3 Max Op (Author) 	 Conc 3 Max (Author) 	 Conc 3 Units (Author)	Conc 1 Type (Standardized) 	 Conc 1 Mean Op (Standardized) 	 Conc 1 Mean (Standardized) 	 Conc 1 Min Op (Standardized) 	 Conc Min 1 (Standardized) 	 Conc 1 Max Op (Standardized) 	 Conc 1 Max (Standardized) 	 Conc 1 Units (Standardized) 	 Conc 2 Type (Standardized) 	 Conc 2 Mean Op (Standardized) 	 Conc 2 Mean (Standardized) 	 Conc 2 Min Op (Standardized) 	 Conc Min 2 (Standardized) 	 Conc 2 Max Op (Standardized) 	 Conc 2 Max (Standardized) 	 Conc 2 Units (Standardized) 	 Conc 3 Type (Standardized) 	 Conc 3 Mean Op (Standardized) 	 Conc 3 Mean (Standardized) 	 Conc 3 Min Op (Standardized) 	 Conc Min 3 (Standardized) 	 Conc 3 Max Op (Standardized) 	 Conc 3 Max (Standardized) 	 Conc 3 Units (Standardized)	Effect 	 Effect Measurement	EE Comment	Endpoint 	 BCF 1 Value Op 	 BCF 1 Value 	 BCF 1 Min Op 	 BCF 1 Min 	 BCF 1 Max Op 	 BCF 1 Max 	 BCF 1 Unit 	 BCF 2 Value Op 	 BCF 2 Value 	 BCF 2 Min Op 	 BCF 2 Min 	 BCF 2 Max Op 	 BCF 2 Max 	 BCF 2 Unit 	 BCF 3 Value Op 	 BCF 3 Value 	 BCF 3 Min Op 	 BCF 3 Min 	 BCF 3 Max Op 	 BCF 3 Max 	 BCF 3 Unit	Response Site	 Effect Percent Mean Op 	 Effect Percent Mean 	 Effect Percent Min Op 	 Effect Percent Min 	 Effect Percent Max Op 	 Effect Percent Max	Ionic Fraction 1 	 Ionic Fraction 2 	 Ionic Fraction 3	Statistical Significance 	 Significance Level Mean Op 	 Significance Level Mean 	 Significance Level Min Op 	 Significance Level Min 	 Significance Level Max Op 	 Significance Level Max	Endpoint Assignment	 Observed Duration Mean Op (Days) 	 Observed Duration Mean (Days) 	 Observed Duration Min Op (Days) 	 Observed Duration Min (Days) 	 Observed Duration Max Op (Days) 	 Observed Duration Max (Days) 	 Observed Duration Units (Days)	 Observed Duration Mean Op (Author) 	 Observed Duration Mean (Author) 	 Observed Duration Min Op (Author) 	 Observed Duration Min (Author) 	 Observed Duration Max Op (Author) 	 Observed Duration Max (Author) 	 Observed Duration Units (Author)	Chemical Formulation	Chemical Radiolabel	Chemical Comment	Chemical Carrier	Species NCBI TaxID	Species ECOTOX Number	Habitat	 Study Duration Mean Op (Author) 	 Study Duration Mean (Author) 	 Study Duration Min Op (Author) 	 Study Duration Min (Author) 	 Study Duration Max Op (Author) 	 Study Duration Max (Author) 	 Study Duration Unit (Author)	 Study Duration Mean Op (Days) 	 Study Duration Mean (Days) 	 Study Duration Min Op (Days) 	 Study Duration Min (Days) 	 Study Duration Max Op (Days) 	 Study Duration Max (Days) 	 Study Duration Unit (Days)	 Application Frequency Mean Op 	 Application Frequency Mean 	 Application Frequency Min Op 	 Application Frequency Min 	 Application Frequency Max Op 	 Application Frequency Max 	 Application Frequency Unit	 Exposure Duration Mean Op (Author) 	 Exposure Duration Mean (Author) 	 Exposure Duration Min Op (Author) 	 Exposure Duration Min (Author) 	 Exposure Duration Max Op (Author) 	 Exposure Duration Max (Author) 	 Exposure Duration Units (Author)	 Exposure Duration Mean Op (Days) 	 Exposure Duration Mean (Days) 	 Exposure Duration Min Op (Days) 	 Exposure Duration Min (Days) 	 Exposure Duration Max Op (Days) 	 Exposure Duration Max (Days) 	 Exposure Duration Units (Days)	Control	Study Type	Test Type	Exposure Sample Number	Doses	Experimental Design	Sub-Habitat 	 Sub-Habitat Description	Sub-Habitat Comment	Geographic Term 	 Geographic Term Description	Geographic Location	Latitude 	 Longitude	Substrate Term (field only)	Substrate Comment (field only)	Application Type	Application Date	 Application Season 	 Application Season Description	Half-Life Mean Op 	 Half-Life Mean 	 Half-Life Min Op 	 Half-Life Min 	 Half-Life Max Op 	 Half-Life Max 	 Half-Life Unit	Application Rate 	 Application Rate Units	 Water Depth Mean Op 	 Water Depth Mean 	 Water Depth Min Op 	 Water Depth Min 	 Water Depth Max Op 	 Water Depth Max 	 Water Depth Units	Result Sample Number Mean Op 	 Result Sample Number Mean 	 Result Sample Number Min Op 	 Result Sample Number Min 	 Result Sample Number Max Op 	 Result Sample Number Max 	 Result Sample Unit	Trend 	 Species Final Weight Mean Op 	 Species Final Weight Mean 	 Species Final Weight Min Op 	 Species Final Weight Min 	 Species Final Weight Max Op 	 Species Final Weight Max 	 Species Final Weight Units	 Intake Rate Mean Op 	 Intake Rate Mean 	 Intake Rate Min Op 	 Intake Rate Min 	 Intake Rate Max Op 	 Intake Rate Max 	 Intake Rate Units	 Result Percent Lipid Mean Op 	 Result Percent Lipid Mean 	 Result Percent Lipid Min Op 	 Result Percent Lipid Min 	 Result Percent Lipid Max Op 	 Result Percent Lipid Max	 Dry/Wet 	 Result Percent Dry/Wet Weight Mean Op 	 Result Percent Dry/Wet Weight Mean 	 Result Percent Dry/Wet Weight Min Op 	 Result Percent Dry/Wet Weight Min 	 Result Percent Dry/Wet Weight Max Op 	 Result Percent Dry/Wet Weight Max	Steady State	Other Effects	Result Comment	 Temperature Mean Op 	 Temperature Mean 	 Temperature Min Op 	 Temperature Min 	 Temperature Max Op 	 Temperature Max 	 Temperature Units	 Hardness Mean Op 	 Hardness Mean 	 Hardness Min Op 	 Hardness Min 	 Hardness Max Op 	 Hardness Max 	 Hardness Units	 Alkalinity Mean Op 	 Alkalinity Mean 	 Alkalinity Min Op 	 Alkalinity Min 	 Alkalinity Max Op 	 Alkalinity Max 	 Alkalinity Units	 Dissolved Oxygen Mean Op 	 Dissolved Oxygen Mean 	 Dissolved Oxygen Min Op 	 Dissolved Oxygen Min 	 Dissolved Oxygen Max Op 	 Dissolved Oxygen Max 	 Dissolved Oxygen Units	 pH Mean Op 	 pH Mean 	 pH Min Op 	 pH Min 	 pH Max Op 	 pH Max	 Salinity Mean Op 	 Salinity Mean 	 Salinity Min Op 	 Salinity Min 	 Salinity Max Op 	 Salinity Max 	 Salinity Units	 Conductivity Mean Op 	 Conductivity Mean 	 Conductivity Min Op 	 Conductivity Min 	 Conductivity Max Op 	 Conductivity Max 	 Conductivity Units	Organic Carbon Type 	 Organic Carbon Mean Op 	 Organic Carbon Mean 	 Organic Carbon Min Op 	 Organic Carbon Min 	 Organic Carbon Max Op 	 Organic Carbon Max 	 Organic Carbon Units	 Humic Acid Mean Op 	 Humic Acid Mean 	 Humic Acid Min Op 	 Humic Acid Min 	 Humic Acid Max Op 	 Humic Acid Max 	 Humic Acid Units	 Sodium Mean Op 	 Sodium Mean 	 Sodium Min Op 	 Sodium Min 	 Sodium Max Op 	 Sodium Max 	 Sodium Units	 Chlorine Mean Op 	 Chlorine Mean 	 Chlorine Min Op 	 Chlorine Min 	 Chlorine Max Op 	 Chlorine Max 	 Chlorine Units	 Dissolved Inorganic Carbon Mean Op 	 Dissolved Inorganic Carbon Mean 	 Dissolved Inorganic Carbon Min Op 	 Dissolved Inorganic Carbon Min 	 Dissolved Inorganic Carbon Max Op 	 Dissolved Inorganic Carbon Max 	 Dissolved Inorganic Carbon Units	 Calcium Mean Op 	 Calcium Mean 	 Calcium Min Op 	 Calcium Min 	 Calcium Max Op 	 Calcium Max 	 Calcium Units	 Potassium Mean Op 	 Potassium Mean 	 Potassium Min Op 	 Potassium Min 	 Potassium Max Op 	 Potassium Max 	 Potassium Units	 Magnesium Mean Op 	 Magnesium Mean 	 Magnesium Min Op 	 Magnesium Min 	 Magnesium Max Op 	 Magnesium Max 	 Magnesium Units	 Sulfate Mean Op 	 Sulfate Mean 	 Sulfate Min Op 	 Sulfate Min 	 Sulfate Max Op 	 Sulfate Max 	 Sulfate Units	 Sulfur Mean Op 	 Sulfur Mean 	 Sulfur Min Op 	 Sulfur Min 	 Sulfur Max Op 	 Sulfur Max 	 Sulfur Units	General Comments	Author 	 Reference Number 	 Title 	 Source 	 Publication Year
1263933	715227	51036	"5-[[2-(2-Butoxyethoxy)ethoxy]methyl]-6-propyl-1,3-benzodioxole"	Not reported	Unmeasured	Not coded		NR		NR		NR	Ictalurus punctatus	Channel Catfish	Animalia	Chordata	Vertebrata	Osteichthyes	Actinopterygii	Siluriformes	Ictaluridae	Ictalurus	punctatus		Fish; Standard Test Species	Fingerling		NR		NR		NR	Not reported	Not reported		NC		NC		NC	NC	Not coded	32 G	Static	Fresh water	Lab	2	Formulation		1		NR		NR	mg/L																	Formulation		1		NR		NR	AI mg/L																	Enzyme(s)	Ali esterase	"MSMT/LIVER ALIESTERASE ACTIVITY REPORTED AS ENDPOINT.  BRAIN, LIVER, MUSCLE, AND PLASMA ACETYLCHOLINESTERASE, AND PLASMA ALIESTERASE ACTIVITIES ARE ALSO REPORTED.//"	LOEL		NR		NR		NR	--															Not reported		NR		NR		NR	NR			Significant at all concentrations		NR		NR		NR	Not reported		1		NR		NR	Day(s)		24		NR		NR	Hour(s)	Not reported	NR	PIPERONYL BUTOXIDE		7998	20	Water		NC		NC		NC	Not coded		NR		NR		NR	Not coded		1		NR		NR	Dosed x time(s) per study period		NC		NC		NC	Not coded		NR		NR		NR	Not coded	Concurrent control	Not Coded	Not coded																																			NC		NC		NC	Not coded	Not reported		NC		NC		NC	NC		NC		NC		NC	NC		NC		NC		NC	NC		NC		NC		NC	NC		 DNUM/2//DOSES/1 mg/L//		30					C							NR							NR							NR													NR							NR	Not reported							NR							NC							NC							NC							NC							NC							NC							NC							NC							NC	   DNUM/2//DOSES/1 mg/L//	"Straus,D.L."	72743	"Chlorpyrifos and Parathion Effects on Enzyme Activities in Fingerling Channel Catfish, Ictalurus punctatus:  Interactions with DEF (S,S,S-Tributyl Phosphorotrithiolate) and Aroclor 1254"	"Ph.D. Thesis, Mississippi State University, MS:74 p."	1994
2071127	2124806	51036	"5-[[2-(2-Butoxyethoxy)ethoxy]methyl]-6-propyl-1,3-benzodioxole"	Not coded	Not coded	United States Environmental Protection Agency		87		NR		NR	Pimephales promelas	Fathead Minnow	Animalia	Chordata	Vertebrata	Osteichthyes	Actinopterygii	Cypriniformes	Cyprinidae	Pimephales	promelas		Fish; Standard Test Species	Not coded		NC		NC		NC	Not coded	Not coded		NC		NC		NC	NC	Not coded	ErlyLf	Flow-through	Not coded	Lab	NC	Active ingredient		0.23		NR		NR	ppm																	Active ingredient		0.23		NR		NR	AI mg/L																	Growth	"Growth, general"		NOEC		NR		NR		NR	--															Not coded		NC		NC		NC	NC			No significance		NA		NA		NA	Author		35		NR		NR	Day(s)		35		NR		NR	Day(s)	Unspecified	NC	"Piperonyl butoxide, 87"		90988	1	Water		NC		NC		NC	Not coded		NR		NR		NR	Not coded		NA		NA		NA	Continual; non-pulsed		35		NR		NR	Day(s)		35		NR		NR	Day(s)	Control data is presented but without accompanying methodology	Not Coded	Chronic																																			NC		NC		NC	Not coded	Not coded		NC		NC		NC	NC		NC		NC		NC	NC		NC		NC		NC	NC		NC		NC		NC	NC		 							--							--							--							--													--							--	Unspecified							--							--							--							--							--							--							--							--							--							--	CONTR/STD METHODS USED//   	U.S. Environmental Protection Agency	344	Pesticide Ecotoxicity Database (Formerly:  Environmental Effects Database (EEDB))	"Environmental Fate and Effects Division, U.S.EPA, Washington, D.C.:"	1992
2150481	2288418	51036	"5-[[2-(2-Butoxyethoxy)ethoxy]methyl]-6-propyl-1,3-benzodioxole"	Not reported	Unmeasured	Not reported		NR		NR		NR	Menidia beryllina	Inland Silverside	Animalia	Chordata	Vertebrata	Osteichthyes	Actinopterygii	Atheriniformes	Atherinidae	Menidia	beryllina		Fish; Standard Test Species	Juvenile		60		NR		NR	Day(s)	Laboratory		NR		NR		NR	NR	Not reported	NR	Renewal	Fresh water	Lab	2	Formulation		25/		NR/		NR/	ug/L																	Formulation		0.025		NR		NR	AI mg/L																	Biochemistry	Choriogenin	MSMT/STATS TO V CONTROL//	NOEC							--															Whole organism		NR		NR		NR	NR			Not significant at all concentrations	<	0.05		NR		NR	ECOTOX		7		NR		NR	Day(s)		7		NR		NR	Day(s)	Not reported	NR	PBO	"CAS #: 67561 , Chem Name: Methanol , Chem Grade: NR , Chem Formulation: NR , Chem Radiolabel: NR , Chem Characteristics: FINAL CONCENTRATION LESS THAN OR EQUAL TO 0.01 PERCENT , Chem Purity: NR , "	269057	341	Water		7		NR		NR	Day(s)		7		NR		NR	Day(s)		NR		NR		NR	Not reported		7		NR		NR	Day(s)		7		NR		NR	Day(s)	Multiple types of controls were reported by the author	Not reported	Not reported	8	0 ug/L / 25 ug/L	5 REPLICATES																																8		NR		NR	Organism	Decreasing		NR		NR		NR	NR		NR		NR		NR	NR		NR		NR		NR	NR		NR		NR		NR	NR	MIXTURE	CONC1/ONLY CONC TESTED// 				21*		23*	C							NR							NR							NR								5*					0/00							NR	Not reported							NR							NR							NR							NR							NR							NR							NR							NR							NR							NR	"SOURCE/AQUATIC BIOSYSTEMS//CONTR/P,V//  CONC1/ONLY CONC TESTED// "	"DeGroot,B.C., and S.M. Brander"	167808	The Role of P450 Metabolism in the Estrogenic Activity of Bifenthrin in Fish	Aquat. Toxicol.156:17-20	2014
2150481	2288419	51036	"5-[[2-(2-Butoxyethoxy)ethoxy]methyl]-6-propyl-1,3-benzodioxole"	Not reported	Unmeasured	Not reported		NR		NR		NR	Menidia beryllina	Inland Silverside	Animalia	Chordata	Vertebrata	Osteichthyes	Actinopterygii	Atheriniformes	Atherinidae	Menidia	beryllina		Fish; Standard Test Species	Juvenile		60		NR		NR	Day(s)	Laboratory		NR		NR		NR	NR	Not reported	NR	Renewal	Fresh water	Lab	2	Formulation		25/		NR/		NR/	ug/L																	Formulation		0.025		NR		NR	AI mg/L																	Growth	Weight	MSMT/STATS TO V CONTROL//	NOEC							--															Whole organism		NR		NR		NR	NR			Not significant at all concentrations	<	0.223		NR		NR	ECOTOX		7		NR		NR	Day(s)		7		NR		NR	Day(s)	Not reported	NR	PBO	"CAS #: 67561 , Chem Name: Methanol , Chem Grade: NR , Chem Formulation: NR , Chem Radiolabel: NR , Chem Characteristics: FINAL CONCENTRATION LESS THAN OR EQUAL TO 0.01 PERCENT , Chem Purity: NR , "	269057	341	Water		7		NR		NR	Day(s)		7		NR		NR	Day(s)		NR		NR		NR	Not reported		7		NR		NR	Day(s)		7		NR		NR	Day(s)	Multiple types of controls were reported by the author	Not reported	Not reported	8	0 ug/L / 25 ug/L	5 REPLICATES																																8		NR		NR	Organism	Decreasing		65		NR		NR	mg		NR		NR		NR	NR		NR		NR		NR	NR		NR		NR		NR	NR	MIXTURE	CONC1/ONLY CONC TESTED// 				21*		23*	C							NR							NR							NR								5*					0/00							NR	Not reported							NR							NR							NR							NR							NR							NR							NR							NR							NR							NR	"SOURCE/AQUATIC BIOSYSTEMS//CONTR/P,V//  CONC1/ONLY CONC TESTED// "	"DeGroot,B.C., and S.M. Brander"	167808	The Role of P450 Metabolism in the Estrogenic Activity of Bifenthrin in Fish	Aquat. Toxicol.156:17-20	2014
2074516	2121585	51036	"5-[[2-(2-Butoxyethoxy)ethoxy]methyl]-6-propyl-1,3-benzodioxole"	Not coded	Not coded	United States Environmental Protection Agency		90.78		NR		NR	Lepomis macrochirus	Bluegill	Animalia	Chordata	Vertebrata	Osteichthyes	Actinopterygii	Perciformes	Centrarchidae	Lepomis	macrochirus		Fish; Standard Test Species	Not reported		NR		NR		NR	Not reported	Not coded		NC		NC		NC	NC	Not coded	N.R.	Flow-through	Fresh water	Lab	NC	Active ingredient		1.46		NR		NR	ppm																	Active ingredient		1.46		NR		NR	AI mg/L																	Mortality	Mortality		NOEL		NR		NR		NR	--															Not coded		NC		NC		NC	NC			No significance		NA		NA		NA	Author		4		NR		NR	Day(s)		96		NR		NR	Hour(s)	Unspecified	NC	"Piperonyl butoxide, 90.78"		13106	2	Water		NC		NC		NC	Not coded		NR		NR		NR	Not coded		NA		NA		NA	Continual; non-pulsed		96		NR		NR	Hour(s)		4		NR		NR	Day(s)	Control data is presented but without accompanying methodology	Not Coded	Acute																																			NC		NC		NC	Not coded	Not coded		NC		NC		NC	NC		NC		NC		NC	NC		NC		NC		NC	NC		NC		NC		NC	NC		 							--							--							--							--													--							--	Unspecified							--							--							--							--							--							--							--							--							--							--	CONTR/STD METHODS USED//   	U.S. Environmental Protection Agency	344	Pesticide Ecotoxicity Database (Formerly:  Environmental Effects Database (EEDB))	"Environmental Fate and Effects Division, U.S.EPA, Washington, D.C.:"	1992
2071626	2120129	51036	"5-[[2-(2-Butoxyethoxy)ethoxy]methyl]-6-propyl-1,3-benzodioxole"	Not coded	Not coded	United States Environmental Protection Agency		90.78		NR		NR	Cyprinodon variegatus	Sheepshead Minnow	Animalia	Chordata	Vertebrata	Osteichthyes	Actinopterygii	Cyprinodontiformes	Cyprinodontidae	Cyprinodon	variegatus		Fish; Standard Test Species	Not coded		NC		NC		NC	Not coded	Not coded		0.46		NR		NR	g	Not coded	0.46 g	Flow-through	Salt water	Lab	NC	Active ingredient		0.92		NR		NR	ppm																	Active ingredient		0.92		NR		NR	AI mg/L																	Mortality	Mortality		NOEL		NR		NR		NR	--															Not coded		NC		NC		NC	NC			No significance		NA		NA		NA	Author		4		NR		NR	Day(s)		96		NR		NR	Hour(s)	Unspecified	NC	"Piperonyl butoxide, 90.78"		28743	86	Water		NC		NC		NC	Not coded		NR		NR		NR	Not coded		NA		NA		NA	Continual; non-pulsed		96		NR		NR	Hour(s)		4		NR		NR	Day(s)	Control data is presented but without accompanying methodology	Not Coded	Acute																																			NC		NC		NC	Not coded	Not coded		NC		NC		NC	NC		NC		NC		NC	NC		NC		NC		NC	NC		NC		NC		NC	NC		 							--							--							--							--													--							--	Unspecified							--							--							--							--							--							--							--							--							--							--	CONTR/STD METHODS USED//   	U.S. Environmental Protection Agency	344	Pesticide Ecotoxicity Database (Formerly:  Environmental Effects Database (EEDB))	"Environmental Fate and Effects Division, U.S.EPA, Washington, D.C.:"	1992
1168023	145925	51036	"5-[[2-(2-Butoxyethoxy)ethoxy]methyl]-6-propyl-1,3-benzodioxole"	Not reported	Unmeasured	Not coded		NR		NR		NR	Salvelinus fontinalis	Brook Trout	Animalia	Chordata	Vertebrata	Osteichthyes	Actinopterygii	Salmoniformes	Salmonidae	Salvelinus	fontinalis		Fish; Standard Test Species	Not reported		NR		33		55	Day(s)	Not reported		NC		NC		NC	NC	Not coded	"POST-FEEDING, 42 MM"	Static	Fresh water	Lab	NR	Formulation	<=	500		NR		NR	ug/L																	Formulation	<=	0.5		NR		NR	AI mg/L																	Mortality	Mortality		NR-ZERO		NR		NR		NR	--															Not reported		0		NR		NR	NR			Not reported		NR		NR		NR	ECOTOX		4		NR		NR	Day(s)		96		NR		NR	Hour(s)	Not reported	NR	NR		8038	3	Water		NC		NC		NC	Not coded		NR		NR		NR	Not coded		1		NR		NR	Dosed x time(s) per study period		NC		NC		NC	Not coded		NR		NR		NR	Not coded	Not reported	Not reported	Not coded																																			NC		NC		NC	Not coded	No effect		NC		NC		NC	NC		NC		NC		NC	NC		NC		NC		NC	NC		NC		NC		NC	NC	"DEACTIVATION INDEX, AGED SOLUTIONS, MIXTURE"	 		9.4					C		132*					mg/L CaCO3							NR							NR		7.61*											NR							NR	Not reported							NR							NC							NC							NC							NC							NC							NC							NC							NC							NC	   	"Paul,E.A., and H.A. Simonin"	14982	Comparison of the Toxicity of a Synergized and Non-Synergized Insecticide to Young Trout	Bull. Environ. Contam. Toxicol.55(3): 453-460	1995
2102773	2187916	51036	"5-[[2-(2-Butoxyethoxy)ethoxy]methyl]-6-propyl-1,3-benzodioxole"	Not reported	Unmeasured	Not reported		NR		NR		NR	Danio rerio	Zebra Danio	Animalia	Chordata	Vertebrata	Osteichthyes	Actinopterygii	Cypriniformes	Cyprinidae	Danio	rerio		Fish; Standard Test Species	Embryo		NR		6		8	Hours post fertilization	Commercial		NR		NR		NR	NR	Not reported	NR	Renewal	Fresh water	Lab	2	Formulation		80		NR		NR	uM																	Formulation		27.075536		NR		NR	AI mg/L																	Multiple	Multiple effects reported as one result	"MSMT/MORT, DFRM, HTCH, EQUL//"	NR							--															Multiple sites		NR		NR		NR	NR			Not reported		NR		NR		NR	Not reported		5		NR		NR	Day(s)		120		NR		NR	Hour(s)	Not reported	NR	Piperonyl butoxide	"CAS #: 67685 , Chem Name: Sulfinyl bis(methane) , Chem Grade: NR , Chem Formulation: NR , Chem Radiolabel: NR , Chem Characteristics: <=0.4% V/V ,  DMSO , Chem Purity: NR , "	7955	5156	Water		120		NR		NR	Hour(s)		5		NR		NR	Day(s)		NA		NR		NR	Daily; dosing regime not specified		120		NR		NR	Hour(s)		5		NR		NR	Day(s)	Carrier or solvent	Not reported	Not reported	4	0 uM / 80 uM																																	NR		NR		NR	Not reported	Increasing		NR		NR		NR	NR		NR		NR		NR	NR		NR		NR		NR	NR		NR		NR		NR	NR		 		26					C							NR							NR							NR													NR							NR	Not reported							NR							NR							NR							NR							NR							NR							NR							NR							NR							NR	   	"Padilla,S., D. Corum, B. Padnos, D.L. Hunter, A. Beam, K.A. Houck, N. Sipes, N. Kleinstreuer, T. Knudsen, D.J. Dix, and"	161191	Zebrafish Developmental Screening of the ToxCast Phase I Chemical Library	Reprod. Toxicol.33(2): 174-187	2012
2060176	2113318	51036	"5-[[2-(2-Butoxyethoxy)ethoxy]methyl]-6-propyl-1,3-benzodioxole"	"Technical grade, technical product, technical formulation"	Not coded	United States Environmental Protection Agency		NC		NC		NC	Carassius auratus	Goldfish	Animalia	Chordata	Vertebrata	Osteichthyes	Actinopterygii	Cypriniformes	Cyprinidae	Carassius	auratus		Fish; Standard Test Species; U.S. Invasive Species	Not coded		NC		NC		NC	Not coded	Not coded		1.41		NR		NR	g	Not coded	1.41 g	Static	Fresh water	Lab	NC	Active ingredient		5.32		4.44		6.37	ppm																	Active ingredient		5.32		4.44		6.37	AI mg/L																	Mortality	Mortality		LC50		NR		NR		NR	--															Not coded		NC		NC		NC	NC			Not applicable		NA		NA		NA	Author		4		NR		NR	Day(s)		96		NR		NR	Hour(s)	Not reported	NC	"Piperonyl butoxide, Tech"		7957	25	Water		NC		NC		NC	Not coded		NR		NR		NR	Not coded		1		NR		NR	Dosed x time(s) per study period		96		NR		NR	Hour(s)		4		NR		NR	Day(s)	Control data is presented but without accompanying methodology	Not Coded	Acute																																			NC		NC		NC	Not coded	Not coded		NC		NC		NC	NC		NC		NC		NC	NC		NC		NC		NC	NC		NC		NC		NC	NC		 							--							--							--							--													--							--	Unspecified							--							--							--							--							--							--							--							--							--							--	CONTR/STD METHODS USED//   	U.S. Environmental Protection Agency	344	Pesticide Ecotoxicity Database (Formerly:  Environmental Effects Database (EEDB))	"Environmental Fate and Effects Division, U.S.EPA, Washington, D.C.:"	1992
2070273	2113037	51036	"5-[[2-(2-Butoxyethoxy)ethoxy]methyl]-6-propyl-1,3-benzodioxole"	"Technical grade, technical product, technical formulation"	Not coded	United States Environmental Protection Agency		NC		NC		NC	Cyprinus carpio	Common Carp	Animalia	Chordata	Vertebrata	Osteichthyes	Actinopterygii	Cypriniformes	Cyprinidae	Cyprinus	carpio		Fish; Standard Test Species; U.S. Invasive Species	Not coded		NC		NC		NC	Not coded	Not coded		0.54		NR		NR	g	Not coded	0.54 g	Static	Fresh water	Lab	NC	Active ingredient		4.22		3.38		5.26	ppm																	Active ingredient		4.22		3.38		5.26	AI mg/L																	Mortality	Mortality		LC50		NR		NR		NR	--															Not coded		NC		NC		NC	NC			Not applicable		NA		NA		NA	Author		4		NR		NR	Day(s)		96		NR		NR	Hour(s)	Not reported	NC	"Piperonyl butoxide, Tech"		7962	21	Water		NC		NC		NC	Not coded		NR		NR		NR	Not coded		1		NR		NR	Dosed x time(s) per study period		96		NR		NR	Hour(s)		4		NR		NR	Day(s)	Control data is presented but without accompanying methodology	Not Coded	Acute																																			NC		NC		NC	Not coded	Not coded		NC		NC		NC	NC		NC		NC		NC	NC		NC		NC		NC	NC		NC		NC		NC	NC		 							--							--							--							--													--							--	Unspecified							--							--							--							--							--							--							--							--							--							--	CONTR/STD METHODS USED//   	U.S. Environmental Protection Agency	344	Pesticide Ecotoxicity Database (Formerly:  Environmental Effects Database (EEDB))	"Environmental Fate and Effects Division, U.S.EPA, Washington, D.C.:"	1992
1195935	168081	51036	"5-[[2-(2-Butoxyethoxy)ethoxy]methyl]-6-propyl-1,3-benzodioxole"	Not reported	Unmeasured	Not coded		NR		NR		NR	Salmo salar	Atlantic Salmon	Animalia	Chordata	Vertebrata	Osteichthyes	Actinopterygii	Salmoniformes	Salmonidae	Salmo	salar		Fish; Standard Test Species; U.S. Threatened and Endangered Species	Juvenile		NR		NR		NR	Not reported	Not reported		NC		NC		NC	NC	Not coded	100 G	Intraperitoneal	Salt water	Lab	NR	Formulation		1		NR		NR	g/kg																	Formulation		1000		NR		NR	AI mg/kg bdwt																	Mortality	Mortality		NR-ZERO		NR		NR		NR	--															Not reported		0		NR		NR	NR			Not reported		NR		NR		NR	ECOTOX		4		NR		NR	Day(s)		4		NR		NR	Day(s)	Not reported	NR	85% IN OIL		8030	68	Water		NC		NC		NC	Not coded		NR		NR		NR	Not coded		NR		NR		NR	Not reported		NC		NC		NC	Not coded		NR		NR		NR	Not coded	Concurrent control	Not reported	Not coded			"ACCLIMATED TO 7, 11 OR 15 C FOR 3 WK"																																NC		NC		NC	Not coded	No effect		NC		NC		NC	NC		NC		NC		NC	NC		NC		NC		NC	NC		NC		NC		NC	NC	"TEMP, IN VITRO"	 		8					C							NR							NR							NR								33*					0/00							NR	Not reported							NR							NC							NC							NC							NC							NC							NC							NC							NC							NC	   	"Grosvik,B.E., H.E. Larsen, and A. Goksoyr"	17616	Effects of Piperonyl Butoxide and beta-Naphthoflavone on Cytochrome P4501A Expression and Activity in Atlantic Salmon (Salmo salar L.)	Environ. Toxicol. Chem.16(3): 415-423	1997
